Event_ID,Round,Boulder_Num,Slab,Coordination,Power,Compression,Dynamic,Press,Top Rate
BER25,Semifinal,3,0,0.5,5,2.5,0,0,0.1666666667
BER25,Semifinal,4,5,0,0,0,1,0,0.04166666667
BER25,Final,1,0,3.5,2,1.5,2.5,2,0.5
BER25,Final,2,0,5,3.5,0,5,0,0.25
BER25,Final,3,5,3.5,0,0,3.5,3,0.25
BER25,Final,4,0,0.5,5,4.5,1,0,0.375
IBK25,Semifinal,1,4.5,1,1,1.5,1,0,0.08333333333
IBK25,Semifinal,2,0,4.5,3,0.5,5,0,0.1666666667
IBK25,Semifinal,3,0,1,5,5,4,0,0.04166666667
IBK25,Semifinal,4,0,1,5,0,1.5,0,0.1666666667
IBK25,Final,1,0,3.5,4,0,5,0,0
IBK25,Final,2,0,2.5,5,3,2.5,0,0.25
IBK25,Final,3,5,0,0,0,1,1.5,0.625
IBK25,Final,4,0,0,4.5,0,1,2.5,0.125
SEO25,Semifinal,1,0,5,2,0,5,0,0.4583333333
SEO25,Semifinal,2,0,2,5,1,4,0,0.6666666667
SEO25,Semifinal,3,2,1,5,2,1,2,0.125
SEO25,Semifinal,4,5,2,1,0,2,0,0.25
SEO25,Final,1,2,4,2,0,4.5,0,0.5
SEO25,Final,2,0,0,5,2.5,2,0,0.375
SEO25,Final,3,5,2,0,0,2,0,0.625
SEO25,Final,4,0,0,5,3.5,3,0,0.125
KEQ26,Semifinal,1,0,0.5,4.5,2,4,0,0.347826087
KEQ26,Semifinal,2,0,1,5,3,3.5,0,0.1739130435
KEQ26,Semifinal,3,0,3.5,3,0,3.5,0,0.1304347826
KEQ26,Semifinal,4,5,1,0,0,1.5,3,0.347826087
KEQ26,Final,1,0,5,3,0,5,2,0.5
KEQ26,Final,2,0,0,5,0,0,0,0
KEQ26,Final,3,5,2,0.5,0,3,1,0.625
KEQ26,Final,4,0,4,5,0,4,0,0.25
BER26,Semifinal,1,5,3,2.5,2,1.5,2,0.125
BER26,Semifinal,2,0,1.5,5,1,4.5,0,0.08333333333
BER26,Semifinal,3,0,1,5,4,4.5,0,0.08333333333
BER26,Semifinal,4,0,5,2.5,0,5,0,0.625
BER26,Final,1,0,0.5,5,2.5,3.5,2.5,0.25
BER26,Final,2,1,5,0.5,0,5,0,0.375
BER26,Final,3,5,1,1,0,2.5,0,0.5
BER26,Final,4,0,0,5,0,4,0,0.25
MAD26,Semifinal,1,0.25,4.75,4,0,5,1,0.1666666667
MAD26,Semifinal,2,0,0,5,1,3.5,0,0.04166666667
MAD26,Semifinal,3,0,2,4.5,1,4,0,0.75
MAD26,Semifinal,4,5,3,0,0,3.5,2,0.1666666667
MAD26,Final,1,0,1,3.5,2,4,0,0.5
MAD26,Final,2,0,5,3.5,1.5,5,0,0.25
MAD26,Final,3,5,1.5,1,1,1.5,1.5,0.5
MAD26,Final,4,0,0,5,4,1,2,0.125
PRA26,Semifinal,1,0,2,5,1.5,2,1.5,0.08333333333
PRA26,Semifinal,2,3.5,5,1,0,4.5,0,0.2083333333
PRA26,Semifinal,3,5,4.5,1.5,0,3,2,0.04166666667
PRA26,Semifinal,4,0,0,5,4.5,2,0,0.3333333333
PRA26,Final,1,0,5,2.5,0,5,0,0.125
PRA26,Final,2,5,3,1.5,3.5,3.5,2.5,0
PRA26,Final,3,0,1.5,5,2,3,0,0.25
PRA26,Final,4,5,1,1,0,2,1.5,0
IBK26,Semifinal,1,5,2,2.5,3.5,1.5,4,0.2916666667
IBK26,Semifinal,2,0,1,4.5,3,1,0,0.5
IBK26,Semifinal,3,0,1,5,0,3.5,0,0.2083333333
IBK26,Semifinal,4,0,5,3.5,0,5,0,0.4166666667
IBK26,Final,1,0,3.5,2.5,1.5,4,0,0.875
IBK26,Final,2,5,5,2,0,5,0,0.25
IBK26,Final,3,0,0,5,2.5,3.5,0,0.625
IBK26,Final,4,5,0,0,0,0,5,0
